2025-02-24 13:46:42,900: 'x'
2025-02-24 13:46:43,074: 'c'
2025-02-24 13:46:43,231: 'x'
2025-02-24 13:46:43,341: 'c'
2025-02-24 13:46:43,483: 'x'
2025-02-24 13:46:43,656: 'c'
2025-02-24 13:46:43,735: 'x'
2025-02-24 13:46:44,839: 'x'
2025-02-24 13:46:44,920: 'c'
2025-02-24 13:46:45,090: 'x'
2025-02-24 13:46:45,621: 'x'
2025-02-24 13:46:45,744: 'c'
2025-02-24 13:46:45,854: 'x'
2025-02-24 13:46:46,076: 'x'
2025-02-24 13:46:46,206: 'c'
2025-02-24 13:46:46,403: Key.backspace
2025-02-24 13:46:46,928: Key.backspace
2025-02-24 13:46:46,961: Key.backspace
2025-02-24 13:46:46,995: Key.backspace
2025-02-24 13:46:47,028: Key.backspace
2025-02-24 13:46:47,063: Key.backspace
2025-02-24 13:46:47,099: Key.backspace
2025-02-24 13:46:47,130: Key.backspace
2025-02-24 13:46:47,165: Key.backspace
2025-02-24 13:46:57,730: 'x'
2025-02-24 13:46:57,886: 'c'
2025-02-24 13:46:58,040: 'x'
2025-02-24 13:46:58,164: 'c'
2025-02-24 13:46:58,284: 'x'
2025-02-24 13:46:58,387: 'c'
2025-02-24 13:46:58,487: 'x'
2025-02-24 13:46:58,594: 'c'
2025-02-24 13:47:03,528: Key.backspace
2025-02-24 13:47:03,706: Key.backspace
2025-02-24 13:47:04,015: Key.backspace
2025-02-24 13:47:04,207: Key.backspace
2025-02-24 13:47:04,379: Key.backspace
2025-02-24 13:47:04,557: Key.backspace
2025-02-24 13:47:04,749: Key.backspace
2025-02-24 13:47:04,926: Key.backspace
2025-02-24 13:47:05,668: 'm'
2025-02-24 13:47:06,342: 'y'
2025-02-24 13:47:06,523: Key.space
2025-02-24 13:47:07,276: 'p'
2025-02-24 13:47:07,433: 'a'
2025-02-24 13:47:07,664: 's'
2025-02-24 13:47:07,828: 's'
2025-02-24 13:47:08,647: 'w'
2025-02-24 13:47:09,007: 'o'
2025-02-24 13:47:09,367: 'r'
2025-02-24 13:47:09,706: 'd'
2025-02-24 13:47:09,863: Key.space
2025-02-24 13:47:10,072: 'i'
2025-02-24 13:47:10,269: 's'
2025-02-24 13:47:10,759: Key.space
2025-02-24 13:47:11,353: Key.tab
2025-02-24 13:47:23,007: Key.backspace
2025-02-24 13:48:01,545: Key.ctrl_l
2025-02-24 13:48:01,979: '\x03'
2025-02-24 13:48:04,662: Key.enter
2025-02-24 13:48:05,166: Key.ctrl_l
2025-02-24 13:48:05,480: '\x16'
2025-02-24 13:48:28,627: 'p'
2025-02-24 13:48:30,092: 'r'
2025-02-24 13:48:32,503: Key.tab
2025-02-24 13:48:42,288: Key.ctrl_l
2025-02-24 13:48:42,540: '\x03'
2025-02-24 13:48:45,170: Key.enter
2025-02-24 13:48:45,540: Key.ctrl_l
2025-02-24 13:48:45,918: '\x16'
2025-02-24 13:48:52,759: Key.ctrl_l
2025-02-24 13:48:53,079: '\x03'
2025-02-24 13:48:55,614: Key.ctrl_l
2025-02-24 13:48:55,858: '\x16'
2025-02-24 13:49:18,525: 'x'
2025-02-24 13:49:18,989: 'x'
2025-02-24 13:49:19,224: 'c'
2025-02-24 13:49:19,646: 'c'
2025-02-24 13:49:19,958: 's'
2025-02-24 13:49:20,331: 's'
2025-02-24 13:49:20,914: 's'
2025-02-24 13:49:22,922: Key.backspace
2025-02-24 13:49:37,161: 'x'
2025-02-24 13:49:38,460: Key.backspace
2025-02-24 13:49:43,300: 'c'
2025-02-24 13:49:43,505: 'v'
2025-02-24 13:49:44,247: 'c'
2025-02-24 13:49:44,412: 'v'
2025-02-24 13:49:44,503: 'c'
2025-02-24 13:49:44,638: 'v'
2025-02-24 13:49:44,754: 'c'
2025-02-24 13:49:45,688: Key.backspace
2025-02-24 13:49:45,946: Key.backspace
2025-02-24 13:49:46,134: Key.backspace
2025-02-24 13:49:46,325: Key.backspace
2025-02-24 13:49:46,526: Key.backspace
2025-02-24 13:49:46,738: Key.backspace
2025-02-24 13:49:59,839: Key.alt_l
2025-02-24 13:50:00,025: Key.space
2025-02-24 13:50:00,161: Key.alt_l
2025-02-24 13:50:25,357: Key.ctrl_l
2025-02-24 13:50:25,608: '\x03'
2025-02-24 13:50:28,467: Key.enter
2025-02-24 13:50:28,768: Key.ctrl_l
2025-02-24 13:50:29,176: '\x16'
